TIME,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
91.672380952,0.0179722,0.0134204,0.0107634,0.00817369,0.00613353,0.00345779,0.00361915,0.00521106,0.00739377,0.00845774,0.0087788,0.00606939
91.718820862,0.0215148,0.0170789,0.012816,0.00938665,0.00805523,0.0141613,0.0183535,0.0323686,0.020779,0.0133277,0.0167722,0.0229862
91.765260771,0.00661991,0.0163034,0.0234411,0.0175696,0.0134678,0.0152345,0.00961093,0.00635275,0.00992565,0.00682196,0.00853438,0.00596808
91.811700680,0.0044082,0.00528863,0.005525,0.00327204,0.00373117,0.0029773,0.00261287,0.00189579,0.00204174,0.00421732,0.00633363,0.0064644
91.858140590,0.0263476,0.0275372,0.0278436,0.025356,0.0232164,0.0206033,0.0163229,0.0131913,0.0124322,0.0103359,0.0127023,0.0114712
91.904580499,0.16722,0.180339,0.185098,0.180536,0.139539,0.164593,0.154209,0.14507,0.132686,0.135702,0.133235,0.110974
91.951020408,0.122681,0.112924,0.0831635,0.0703007,0.0534381,0.0353969,0.0380072,0.0454741,0.0442198,0.0323022,0.0193127,0.0122841
91.997460317,0.0576877,0.0475823,0.0426981,0.0367894,0.0233842,0.0111322,0.00524114,0.0118983,0.0138948,0.00957331,0.00932661,0.00721493
92.043900227,0.012104,0.00804415,0.00755375,0.00591102,0.00419275,0.00373475,0.0043088,0.00452721,0.00583578,0.00667929,0.00555226,0.00540432
92.090340136,0.0116019,0.00851777,0.0132308,0.0105959,0.00808527,0.00883469,0.0187716,0.0143685,0.0189898,0.0190704,0.0135309,0.0112151
92.136780045,0.00638856,0.00582243,0.0107874,0.0173289,0.0290249,0.0208714,0.00884496,0.0121186,0.00992594,0.00452402,0.00508847,0.00768302
92.183219955,0.00550002,0.00582927,0.00503539,0.00603246,0.00731962,0.00504555,0.00481592,0.00265852,0.00272555,0.00309042,0.0035167,0.00442338
92.229659864,0.0395319,0.0419114,0.0408274,0.0400406,0.0376053,0.0349547,0.0298645,0.0250106,0.021234,0.0192109,0.0181401,0.0211132
92.276099773,0.149991,0.155989,0.153615,0.137905,0.130835,0.130931,0.118471,0.120934,0.11424,0.0938693,0.083662,0.0842331
92.322539683,0.112353,0.102401,0.0755834,0.0707538,0.0461038,0.0275805,0.032063,0.0395216,0.0364252,0.0235399,0.0160888,0.0119268
92.368979592,0.0472076,0.0375025,0.0341422,0.0294586,0.0186517,0.00988066,0.00365349,0.00912512,0.0119207,0.00815822,0.00672842,0.00497572
92.415419501,0.00844369,0.00460305,0.00608462,0.0047115,0.00498929,0.00411798,0.00404422,0.00355785,0.00486724,0.00466221,0.00370466,0.00290442
92.461859410,0.017914,0.0192887,0.0239095,0.0280045,0.0230706,0.0157696,0.0210063,0.02592,0.0207835,0.0157391,0.0247713,0.0238882
92.508299320,0.00595036,0.0126877,0.0111535,0.00646328,0.00473822,0.0144261,0.0380199,0.0272265,0.00987187,0.0101473,0.0253507,0.01766
92.554739229,0.00765216,0.00910711,0.00663306,0.00523495,0.00427064,0.0152666,0.0445426,0.0348692,0.00825071,0.00687635,0.00927093,0.00678575
92.601179138,0.0629873,0.0658427,0.0641056,0.0637105,0.0571663,0.0925102,0.122376,0.0781286,0.0385448,0.0346577,0.0344628,0.0327065
92.647619048,0.134437,0.141707,0.138023,0.11989,0.109518,0.102697,0.0876403,0.0987407,0.097195,0.064068,0.0566974,0.0529518
92.694058957,0.10175,0.0921636,0.0689887,0.0671789,0.0413726,0.0213896,0.0267578,0.0334715,0.0293874,0.0159966,0.0153257,0.0129953
92.740498866,0.0377674,0.030206,0.0266973,0.0225957,0.0155499,0.00822846,0.00330328,0.00771061,0.0102509,0.00688864,0.00439953,0.0032281
92.786938776,0.00521209,0.00423725,0.00411502,0.00387716,0.00337602,0.0042512,0.00437742,0.00496948,0.00363767,0.00244986,0.00262534,0.00266479
92.833378685,0.0174301,0.0190902,0.0212998,0.0285186,0.016328,0.0292336,0.0266814,0.0214911,0.0232124,0.0132548,0.0128283,0.0147315
92.879818594,0.00408109,0.00582624,0.00601439,0.00555427,0.00617071,0.0132964,0.0291923,0.0166637,0.00835825,0.00789008,0.0113365,0.00950656
92.926258503,0.00901751,0.0112137,0.0119,0.00869766,0.00859044,0.0123099,0.047393,0.0362742,0.00710288,0.00642417,0.00781557,0.00723873
92.972698413,0.0934489,0.100061,0.0974087,0.0885056,0.0877735,0.0988072,0.138204,0.103452,0.0653871,0.0645809,0.0600025,0.0559369
93.019138322,0.138035,0.136728,0.120781,0.101417,0.0966192,0.085697,0.0738314,0.0818986,0.0779268,0.0480589,0.0450798,0.0396654
93.065578231,0.0907335,0.0811813,0.0650578,0.0594228,0.0364192,0.0167888,0.0219907,0.0265014,0.0222275,0.0111638,0.0146906,0.0126745
93.112018141,0.02966,0.0235301,0.0207081,0.0182683,0.0115534,0.00510172,0.00348037,0.00715958,0.00891744,0.00732239,0.0106455,0.00699433
93.158458050,0.00750749,0.00454254,0.0115288,0.0146914,0.00776704,0.00732386,0.0114898,0.0151675,0.0131657,0.0172193,0.0217422,0.00905899
93.204897959,0.00363189,0.0070579,0.0122568,0.0134448,0.00752707,0.00369118,0.00786317,0.00724215,0.00507786,0.00973827,0.0164684,0.00926093
93.251337868,0.0024747,0.00332057,0.00358542,0.00450932,0.00450559,0.00282596,0.0021896,0.00287671,0.00473395,0.00708409,0.00715522,0.00460558
93.297777778,0.0102117,0.0122957,0.0124344,0.0126095,0.0129855,0.00825488,0.00695472,0.00684097,0.00635255,0.00835367,0.00660488,0.00754384
93.344217687,0.126355,0.142361,0.144399,0.138149,0.136787,0.137536,0.124147,0.111221,0.103226,0.100417,0.0959658,0.0881514
93.390657596,0.137597,0.130091,0.108097,0.0830991,0.0809767,0.0634989,0.0567005,0.0663144,0.0622471,0.0466235,0.0343366,0.0261961
93.437097506,0.0783365,0.0679496,0.0571113,0.051041,0.0330058,0.0137897,0.0142757,0.0200196,0.0173135,0.00733417,0.0130502,0.0108974
93.483537415,0.02054,0.0160824,0.0140195,0.0106821,0.00749969,0.0048378,0.00428286,0.00559719,0.00738443,0.00519377,0.00203872,0.00197247
93.529977324,0.0125612,0.0125584,0.0122707,0.0106454,0.0128443,0.0157293,0.0257473,0.0326397,0.031631,0.0207485,0.014463,0.0150033
93.576417234,0.00600988,0.00535254,0.00418001,0.00615857,0.0112872,0.0110557,0.00820202,0.00858774,0.0118565,0.00662237,0.00532375,0.00586067
93.622857143,0.00451887,0.00693807,0.00772785,0.00602526,0.00696917,0.00436553,0.00265531,0.00488075,0.00657768,0.00264661,0.00517797,0.00691024
93.669297052,0.0182254,0.020141,0.0190706,0.0195607,0.0178671,0.0116018,0.0117115,0.0126426,0.0105573,0.00879783,0.00876446,0.00872336
93.715736961,0.152224,0.190348,0.214226,0.207757,0.180509,0.177809,0.170959,0.145112,0.162336,0.176741,0.158633,0.106102
93.762176871,0.128633,0.120614,0.0949137,0.0711592,0.0650254,0.0456141,0.0413401,0.0533666,0.0504792,0.0383996,0.023756,0.0138866
93.808616780,0.0676786,0.0569279,0.0495968,0.0428233,0.0285831,0.0123796,0.00867615,0.015162,0.0154435,0.00824331,0.0111691,0.00934254
93.855056689,0.0145939,0.0113583,0.00930049,0.00761976,0.00513625,0.00358735,0.00382045,0.00553238,0.00658841,0.00397733,0.00203486,0.00178431
93.901496599,0.0176575,0.0141459,0.0113111,0.0129349,0.0122832,0.0113532,0.018201,0.0314383,0.0309709,0.01976,0.0127224,0.0169529
93.947936508,0.00620945,0.00614737,0.00491481,0.00534292,0.0116595,0.0107922,0.00779845,0.00534345,0.0068338,0.00512468,0.0042421,0.00595667
93.994376417,0.00488437,0.00522079,0.00477461,0.00488959,0.00488313,0.0032861,0.00485956,0.00649524,0.00708586,0.00455147,0.00500141,0.00589957
94.040816327,0.0296514,0.0308869,0.0292424,0.0289923,0.0276561,0.0208381,0.0206941,0.0163515,0.0145192,0.0145651,0.0122129,0.0143623
